province,district,price,latitude,longitude
Balochistan,Sibi,5050,29.5448,67.8764
Sindh,Sukkur,4400,27.7052,68.8574
Punjab,Taunsa sharif,4700,30.7041,70.6504
Punjab,Toba Tek Singh,3500,30.9741,72.4828
Sindh,Umarkot,4500,25.3614,69.7409
Punjab,Vehari,4650,30.0419,72.3556
Balochistan,Wadh,4900,27.7369,66.5749
Punjab,Yazman Mandi,4950,29.1656,71.7445
Punjab,Rahim Yar Khan,10300,28.4202,70.303
Punjab,Sadiqabad,10300,28.3061,70.1301
Punjab,Ahmadpur East,4900,29.1441,71.2572
Punjab,Alipur,4450,29.3854,70.9112
Punjab,Bahawalnagar,5200,29.9983,73.2511
Sindh,Bandhi,4000,26.9103,68.6986
Punjab,Chichawatni,4900,30.5333,72.6833
Punjab,Chowk Munda,4850,30.0348,71.3761
Sindh,Dadu,4600,26.7338,67.7769
Sindh,Daharki,4600,28.2706,69.7073
Balochistan,Dalbandin,5150,28.8883,64.4062
Sindh,Dour,4000,26.4525,68.1429
Punjab,Taunsa sharif,4700,30.7041,70.6504
Punjab,Vehari,4600,30.0419,72.3556
Balochistan,Wadh,4900,27.7369,66.5749
Punjab,Yazman Mandi,5100,29.1656,71.7445
Punjab,Dahranwala,9900,29.4614,73.0364
Punjab,Fortabbas,10000,29.192,72.8741
Punjab,Liaqatpur,10500,28.9143,70.9656
Punjab,Yazman Mandi,9700,29.1656,71.7445
Punjab,Ahmadpur East,5150,29.1441,71.2572
Punjab,Alipur,4400,29.3854,70.9112
Punjab,Bahawalpur,4950,29.3956,71.6836
Punjab,Dadu,4500,26.7338,67.7769
Punjab,Daharki,4500,28.2706,69.7073
Sindh,Dalbandin,5150,28.8883,64.4062
Sindh,Dunga Bunga,5299,29.7508,73.1648
Balochistan,Fatehpur,4500,29.7136,70.8817
Punjab,Fazil Pur,4450,29.6815,70.2962
Punjab,Fortabbas,5135,29.192,72.8741
Punjab,Ghotki,4500,28.0035,69.3178
Punjab,Head Bakkani,4500,29.6958,70.4024
Sindh,Jampur,4200,29.6356,70.5956
Punjab,Jatoi,4450,29.5186,70.8418
Punjab,Khairpur,4100,27.5295,68.7592
Punjab,Khanpur,5275,28.6452,70.6567
Sindh,Khuzdar,4900,27.8,66.6167
Punjab,Lodhran,4900,29.5333,71.6333
Balochistan,Marot,5300,28.3833,72.8667
