province,district,price,latitude,longitude
Punjab,Bahawalnagar,2138,29.9983,73.2511
Punjab,Rahim Yar Khan,2199,28.4202,70.303
Punjab,Bahawalnagar,2215,29.9983,73.2511
Punjab,Bahawalnagar,2225,29.9983,73.2511
Sindh,Hyderabad,2090,25.396,68.3578
Sindh,Karachi,2125,24.8607,67.0011
Punjab,Toba Tek Singh,2158,30.9741,72.4828
Punjab,Sahiwal,2173,30.6777,73.1066
Punjab,Bahawalnagar,2175,29.9983,73.2511
Punjab,Rahim Yar Khan,2175,28.4202,70.303
Punjab,Bahawalnagar,2220,29.9983,73.2511
Punjab,Bahawalnagar,2220,29.9983,73.2511
Punjab,Bahawalnagar,2225,29.9983,73.2511
Punjab,Rahim Yar Khan,2226,28.4202,70.303
Sindh,Hyderabad,2080,25.396,68.3578
Sindh,Karachi,2120,24.8607,67.0011
Punjab,Sahiwal,2145,30.6777,73.1066
Punjab,Toba Tek Singh,2155,30.9741,72.4828
Punjab,Rahim Yar Khan,2165,28.4202,70.303
Punjab,Bahawalnagar,2175,29.9983,73.2511
Punjab,Bahawalnagar,2215,29.9983,73.2511
Punjab,Bahawalnagar,2225,29.9983,73.2511
Punjab,Bahawalnagar,2243,29.9983,73.2511
Sindh,Hyderabad,2080,25.396,68.3578
Sindh,Karachi,2120,24.8607,67.0011
Punjab,Toba Tek Singh,2135,30.9741,72.4828
Punjab,Sahiwal,2145,30.6777,73.1066
Punjab,Bahawalnagar,2163,29.9983,73.2511
Punjab,Rahim Yar Khan,2175,28.4202,70.303
Punjab,Bahawalnagar,2213,29.9983,73.2511
Punjab,Bahawalnagar,2238,29.9983,73.2511
Punjab,Bahawalnagar,2240,29.9983,73.2511
Punjab,Sahiwal,2133,30.6777,73.1066
Sindh,Karachi,2135,24.8607,67.0011
Sindh,Hyderabad,2115,25.396,68.3578
Punjab,Rahim Yar Khan,2125,28.4202,70.303
Punjab,Bahawalnagar,2145,29.9983,73.2511
Punjab,Toba Tek Singh,2140,30.9741,72.4828
Punjab,Rahim Yar Khan,2160,28.4202,70.303
Punjab,Bahawalnagar,2188,29.9983,73.2511
Punjab,Bahawalnagar,2190,29.9983,73.2511
Sindh,Hyderabad,2080,25.396,68.3578
Sindh,Karachi,2120,24.8607,67.0011
Punjab,Sahiwal,2140,30.6777,73.1066
Punjab,Toba Tek Singh,2140,30.9741,72.4828
Punjab,Bahawalnagar,2155,29.9983,73.2511
Punjab,Rahim Yar Khan,2160,28.4202,70.303
Punjab,Bahawalnagar,2208,29.9983,73.2511
Punjab,Rahim Yar Khan,2194,28.4202,70.303
Sindh,Hyderabad,2080,25.396,68.3578
Sindh,Karachi,2120,24.8607,67.0011
Punjab,Rahim Yar Khan,2073,28.4202,70.303
Punjab,Bahawalnagar,2155,29.9983,73.2511
Punjab,Toba Tek Singh,2155,30.9741,72.4828
Punjab,Rahim Yar Khan,2160,28.4202,70.303
Punjab,Sahiwal,2168,30.6777,73.1066
Punjab,Bahawalnagar,2175,29.9983,73.2511
Punjab,Bahawalnagar,2205,29.9983,73.2511
Punjab,Bahawalnagar,2235,29.9983,73.2511
Sindh,Hyderabad,2080,25.396,68.3578
Punjab,Rahim Yar Khan,2058,28.4202,70.303
Sindh,Karachi,2120,24.8607,67.0011
Punjab,Toba Tek Singh,2140,30.9741,72.4828
Punjab,Bahawalnagar,2155,29.9983,73.2511
Punjab,Bahawalnagar,2185,29.9983,73.2511
Punjab,Sahiwal,2180,30.6777,73.1066
Punjab,Rahim Yar Khan,2195,28.4202,70.303
Punjab,Bahawalnagar,2200,29.9983,73.2511
Punjab,Bahawalnagar,2230,29.9983,73.2511
Sindh,Hyderabad,2120,25.396,68.3578
Sindh,Karachi,2140,24.8607,67.0011
Punjab,Toba Tek Singh,2145,30.9741,72.4828
Punjab,Bahawalnagar,2158,29.9983,73.2511
Punjab,Rahim Yar Khan,2163,28.4202,70.303
Punjab,Sahiwal,2175,30.6777,73.1066
Punjab,Rahim Yar Khan,2150,28.4202,70.303
