by_product,date,province,price
1,2012-01-12,Balochistan,6302.25
1,2012-01-13,Balochistan,6302.25
1,2012-01-14,Balochistan,6302.25
1,2012-01-15,Balochistan,6302.25
1,2012-01-16,Balochistan,6302.25
1,2012-01-17,Balochistan,6302.25
1,2012-01-18,Balochistan,6302.25
1,2012-01-19,Balochistan,6302.25
1,2012-01-20,Balochistan,6302.25
1,2012-01-21,Balochistan,6302.25
1,2012-01-22,Balochistan,6302.25
1,2012-01-23,Balochistan,6302.25
1,2012-01-24,Balochistan,6302.25
1,2012-01-25,Balochistan,6302.25
1,2012-01-26,Balochistan,6302.25
1,2012-01-27,Balochistan,6302.25
1,2012-01-28,Balochistan,6302.25
1,2012-01-29,Balochistan,6302.25
1,2012-01-30,Balochistan,6302.25
1,2012-01-31,Balochistan,6302.25
1,2012-02-01,Balochistan,6302.25
1,2012-02-02,Balochistan,6302.25
1,2012-02-03,Balochistan,6302.25
1,2012-02-04,Balochistan,6302.25
1,2012-02-05,Balochistan,6302.25
1,2012-02-06,Balochistan,6302.25
1,2012-02-07,Balochistan,6302.25
1,2012-02-08,Balochistan,6302.25
1,2012-02-09,Balochistan,6302.25
1,2012-02-10,Balochistan,6302.25
1,2012-02-11,Balochistan,6302.25
1,2012-02-12,Balochistan,6302.25
1,2012-02-13,Balochistan,6302.25
1,2012-02-14,Balochistan,6302.25
1,2012-02-15,Balochistan,6302.25
1,2012-02-16,Balochistan,6302.25
1,2012-02-17,Balochistan,6302.25
1,2012-02-18,Balochistan,6302.25
1,2012-02-19,Balochistan,6302.25
1,2012-02-20,Balochistan,6302.25
1,2012-02-21,Balochistan,6302.25
1,2012-02-22,Balochistan,6302.25
1,2012-02-23,Balochistan,6302.25
1,2012-02-24,Balochistan,6302.25
1,2012-02-25,Balochistan,6302.25
1,2012-02-26,Balochistan,6302.25
1,2012-02-27,Balochistan,6302.25
1,2012-02-28,Balochistan,6302.25
1,2012-02-29,Balochistan,6302.25
1,2012-03-01,Balochistan,6302.25
1,2012-03-02,Balochistan,6302.25
1,2012-03-03,Balochistan,6302.25
1,2012-03-04,Balochistan,6302.25
1,2012-03-05,Balochistan,6302.25
1,2012-03-06,Balochistan,6302.25
1,2012-03-07,Balochistan,6302.25
1,2012-03-08,Balochistan,6302.25
1,2012-03-09,Balochistan,6302.25
1,2012-03-10,Balochistan,6302.25
1,2012-03-11,Balochistan,6302.25
1,2012-03-12,Balochistan,6302.25
1,2012-03-13,Balochistan,6302.25
1,2012-03-14,Balochistan,6302.25
1,2012-03-15,Balochistan,6302.25
1,2012-03-16,Balochistan,6302.25
1,2012-03-17,Balochistan,6302.25
1,2012-03-18,Balochistan,6302.25
1,2012-03-19,Balochistan,6302.25
1,2012-03-20,Balochistan,6302.25
1,2012-03-21,Balochistan,6302.25
1,2012-03-22,Balochistan,6302.25
1,2012-03-23,Balochistan,6302.25
1,2012-03-24,Balochistan,6302.25
1,2012-03-25,Balochistan,6302.25
1,2012-03-26,Balochistan,6302.25
1,2012-03-27,Balochistan,6302.25
1,2012-03-28,Balochistan,6302.25
1,2012-03-29,Balochistan,6302.25
1,2012-03-30,Balochistan,6302.25
1,2012-03-31,Balochistan,6302.25
1,2012-04-01,Balochistan,6302.25
1,2012-04-02,Balochistan,6302.25
1,2012-04-03,Balochistan,6302.25
1,2012-04-04,Balochistan,6302.25
1,2012-04-05,Balochistan,6302.25
1,2012-04-06,Balochistan,6302.25
1,2012-04-07,Balochistan,6302.25
1,2012-04-08,Balochistan,6302.25
1,2012-04-09,Balochistan,6302.25
1,2012-04-10,Balochistan,6302.25
1,2012-04-11,Balochistan,6302.25
1,2012-04-12,Balochistan,6302.25
1,2012-04-13,Balochistan,6302.25
1,2012-04-14,Balochistan,6302.25
1,2012-04-15,Balochistan,6302.25
1,2012-04-16,Balochistan,6302.25
1,2012-04-17,Balochistan,6302.25
1,2012-04-18,Balochistan,6302.25
1,2012-04-19,Balochistan,6302.25
1,2012-04-20,Balochistan,6302.25
1,2012-04-21,Balochistan,6302.25
1,2012-04-22,Balochistan,6466.25
1,2012-04-23,Balochistan,6466.25
1,2012-04-24,Balochistan,6466.25
1,2012-04-25,Balochistan,6466.25
1,2012-04-26,Balochistan,6466.25
1,2012-04-27,Balochistan,6466.25
1,2012-04-28,Balochistan,6466.25
1,2012-04-29,Balochistan,6466.25
1,2012-04-30,Balochistan,6466.25
1,2012-05-01,Balochistan,6466.25
1,2012-05-02,Balochistan,6466.25
1,2012-05-03,Balochistan,6466.25
1,2012-05-04,Balochistan,6466.25
1,2012-05-05,Balochistan,6466.25
1,2012-05-06,Balochistan,6466.25
1,2012-05-07,Balochistan,6466.25
1,2012-05-08,Balochistan,6466.25
1,2012-05-09,Balochistan,6466.25
1,2012-05-10,Balochistan,6466.25
1,2012-05-11,Balochistan,6466.25
1,2012-05-12,Balochistan,6530.0
1,2012-05-13,Balochistan,6530.0
1,2012-05-14,Balochistan,6530.0
1,2012-05-15,Balochistan,6530.0
1,2012-05-16,Balochistan,6530.0
1,2012-05-17,Balochistan,6530.0
1,2012-05-18,Balochistan,6530.0
1,2012-05-19,Balochistan,6530.0
1,2012-05-20,Balochistan,6530.0
1,2012-05-21,Balochistan,6530.0
1,2012-05-22,Balochistan,6530.0
1,2012-05-23,Balochistan,6530.0
1,2012-05-24,Balochistan,6541.0
1,2012-05-25,Balochistan,6541.0
1,2012-05-26,Balochistan,6541.0
1,2012-05-27,Balochistan,6541.0
1,2012-05-28,Balochistan,6541.0
1,2012-05-29,Balochistan,6541.0
1,2012-05-30,Balochistan,6541.0
1,2012-05-31,Balochistan,6541.0
1,2012-06-01,Balochistan,6541.0
1,2012-06-02,Balochistan,6541.0
1,2012-06-03,Balochistan,6541.0
1,2012-06-04,Balochistan,6541.0
1,2012-06-05,Balochistan,6541.0
1,2012-06-06,Balochistan,6541.0
1,2012-06-07,Balochistan,6541.0
1,2012-06-08,Balochistan,6541.0
1,2012-06-09,Balochistan,6541.0
1,2012-06-10,Balochistan,6541.0
1,2012-06-11,Balochistan,6541.0
1,2012-06-12,Balochistan,6541.0
1,2012-06-13,Balochistan,6541.0
1,2012-06-14,Balochistan,6541.0
1,2012-06-15,Balochistan,6541.0
1,2012-06-16,Balochistan,6541.0
1,2012-06-17,Balochistan,6541.0
1,2012-06-18,Balochistan,6541.0
1,2012-06-19,Balochistan,6541.0
1,2012-06-20,Balochistan,6541.0
1,2012-06-21,Balochistan,6541.0
1,2012-06-22,Balochistan,6541.0
1,2012-06-23,Balochistan,6541.0
1,2012-06-24,Balochistan,6541.0
1,2012-06-25,Balochistan,6541.0
1,2012-06-26,Balochistan,6541.0
1,2012-06-27,Balochistan,6541.0
1,2012-06-28,Balochistan,6541.0
1,2012-06-29,Balochistan,6541.0
1,2012-06-30,Balochistan,6541.0
1,2012-07-01,Balochistan,6541.0
1,2012-07-02,Balochistan,6541.0
1,2012-07-03,Balochistan,6541.0
1,2012-07-04,Balochistan,6541.0
1,2012-07-05,Balochistan,6541.0
1,2012-07-06,Balochistan,6541.0
1,2012-07-07,Balochistan,6541.0
1,2012-07-08,Balochistan,6541.0
1,2012-07-09,Balochistan,6541.0
1,2012-07-10,Balochistan,6541.0
1,2012-07-11,Balochistan,6541.0
1,2012-07-12,Balochistan,6541.0
1,2012-07-13,Balochistan,6541.0
1,2012-07-14,Balochistan,6541.0
1,2012-07-15,Balochistan,6541.0
1,2012-07-16,Balochistan,6541.0
1,2012-07-17,Balochistan,6541.0
1,2012-07-18,Balochistan,6541.0
1,2012-07-19,Balochistan,6541.0
1,2012-07-20,Balochistan,6541.0
1,2012-07-21,Balochistan,6541.0
1,2012-07-22,Balochistan,6541.0
1,2012-07-23,Balochistan,6541.0
1,2012-07-24,Balochistan,6541.0
1,2012-07-25,Balochistan,6541.0
1,2012-07-26,Balochistan,6541.0
1,2012-07-27,Balochistan,6541.0
1,2012-07-28,Balochistan,6541.0
1,2012-07-29,Balochistan,6448.0
1,2012-07-30,Balochistan,6448.0
1,2012-07-31,Balochistan,6448.0
1,2012-08-01,Balochistan,6448.0
1,2012-08-02,Balochistan,6448.0
1,2012-08-03,Balochistan,6448.0
1,2012-08-04,Balochistan,6448.0
1,2012-08-05,Balochistan,6415.5
1,2012-08-06,Balochistan,6415.5
1,2012-08-07,Balochistan,6415.5
1,2012-08-08,Balochistan,6415.5
1,2012-08-09,Balochistan,6415.5
1,2012-08-10,Balochistan,6385.5
1,2012-08-11,Balochistan,6385.5
1,2012-08-12,Balochistan,6385.5
1,2012-08-13,Balochistan,6385.5
1,2012-08-14,Balochistan,6385.5
1,2012-08-15,Balochistan,6385.5
1,2012-08-16,Balochistan,6385.5
1,2012-08-17,Balochistan,6385.5
1,2012-08-18,Balochistan,6385.5
1,2012-08-19,Balochistan,6385.5
1,2012-08-20,Balochistan,6385.5
1,2012-08-21,Balochistan,6385.5
1,2012-08-22,Balochistan,6385.5
1,2012-08-23,Balochistan,6385.5
1,2012-08-24,Balochistan,6385.5
1,2012-08-25,Balochistan,6334.5
1,2012-08-26,Balochistan,6334.5
1,2012-08-27,Balochistan,6334.5
1,2012-08-28,Balochistan,6334.5
1,2012-08-29,Balochistan,6334.5
1,2012-08-30,Balochistan,6282.1
1,2012-08-31,Balochistan,6282.1
1,2012-09-01,Balochistan,6282.1
1,2012-09-02,Balochistan,6282.1
1,2012-09-03,Balochistan,6282.1
1,2012-09-04,Balochistan,6282.1
1,2012-09-05,Balochistan,6282.1
