date,price
1/1/2006,62.13
5/1/2006,55.55
5/16/2006,55.55
6/1/2006,55.55
6/16/2006,55.55
7/16/2006,53.7
8/16/2006,55.55
9/16/2006,55.55
10/16/2006,55.55
11/16/2006,55.55
12/1/2006,55.55
1/16/2007,51.7
4/1/2007,51.7
4/16/2007,51.7
5/1/2007,51.7
5/16/2007,51.7
6/1/2007,51.7
6/16/2007,51.7
7/1/2007,51.7
7/16/2007,53.7
8/1/2007,53.7
8/25/2007,53.7
9/1/2007,53.7
9/16/2007,53.7
10/1/2007,53.7
10/16/2007,53.7
11/2/2007,53.7
11/16/2007,53.7
12/2/2007,53.7
12/16/2007,53.7
1/1/2008,53.7
2/16/2008,53.7
3/1/2008,58.7
3/16/2008,62.81
4/1/2008,62.81
4/18/2008,65.81
5/1/2008,68.81
5/16/2008,68.81
6/1/2008,68.81
6/22/2008,68.81
6/29/2008,75.69
7/1/2008,75.69
7/21/2008,86.66
8/1/2008,86.66
8/16/2008,86.66
9/1/2008,86.66
9/16/2008,81.66
10/1/2008,81.66
10/16/2008,81.66
11/1/2008,76.66
11/16/2008,66.66
12/1/2008,51.66
12/16/2008,57.66
1/1/2009,57.66
2/1/2009,57.66
3/1/2009,57.66
4/1/2009,57.66
5/1/2009,57.66
5/22/2009,56.21
6/1/2009,56.21
7/1/2009,62.13
7/8/2009,50.53
7/9/2009,62.13
8/1/2009,60.46
9/1/2009,65.26
10/1/2009,61.63
11/1/2009,61.63
12/1/2009,66
1/1/2010,65.11
2/1/2010,71.21
3/1/2010,70.57
4/1/2010,73.14
5/1/2010,75.08
6/1/2010,69.04
7/1/2010,67.95
8/1/2010,67.74
9/1/2010,67.26
10/1/2010,66.99
10/22/2010,101.08
11/1/2010,72.96
12/1/2010,72.96
1/1/2011,79.67
1/7/2011,72.96
2/1/2011,72.96
3/1/2011,80.19
3/15/2011,76.58
4/1/2011,83.56
5/1/2011,88.41
6/1/2011,86.71
7/1/2011,83.71
8/1/2011,84.8
8/26/2011,84.8
10/1/2011,88.95
11/1/2011,87.41
12/1/2011,87.89
1/1/2012,89.54
2/1/2012,94.91
3/1/2012,97.66
4/1/2012,105.68
4/4/2012,103.36
5/1/2012,103.36
6/1/2012,99.97
6/16/2012,89.51
7/1/2012,84.99
7/16/2012,85.9
8/1/2012,93.57
8/16/2012,93.57
8/23/2012,96.78
9/1/2012,104.55
9/10/2012,99.9
9/17/2012,106.72
9/24/2012,108.45
10/1/2012,102.45
10/8/2012,105.49
10/15/2012,103.4
10/22/2012,101.42
11/22/2012,102.65
12/22/2012,101.42
1/22/2013,103.07
3/1/2013,106.6
3/4/2013,103.07
4/1/2013,102.3
5/1/2013,97.59
6/1/2013,99.77
6/13/2013,100.63
6/21/2013,99.77
7/9/2013,101.77
8/1/2013,104.5
9/1/2013,109.13
10/1/2013,113.24
11/1/2013,112.76
12/1/2013,112.76
1/1/2014,112.76
2/1/2014,112.76
3/1/2014,110.03
4/1/2014,108.31
5/1/2014,107.97
6/1/2014,107.97
7/1/2014,107.97
8/1/2014,107.97
9/1/2014,106.56
10/1/2014,103.62
11/1/2014,94.19
12/1/2014,84.53
1/1/2015,78.28
2/1/2015,70.29
3/1/2015,70.29
4/1/2015,74.29
5/1/2015,74.29
6/1/2015,77.79
7/1/2015,77.79
8/1/2015,76.76
9/1/2015,73.76
10/1/2015,73.76
11/1/2015,76.26
12/1/2015,76.26
1/1/2016,76.25
2/1/2016,71.25
3/1/2016,62.77
4/1/2016,64.27
5/1/2016,64.27
6/1/2016,64.27
7/1/2016,64.27
8/1/2016,64.27
9/1/2016,64.27
10/1/2016,64.27
11/1/2016,64.27
12/1/2016,66.27
1/1/2017,66.27
1/16/2017,68.04
2/1/2017,70.29
2/16/2017,71.29
3/1/2017,73
4/1/2017,74
5/1/2017,74
6/1/2017,72.8
7/1/2017,71.3
8/1/2017,71.3
8/6/2017,69.5
9/1/2017,71.5
10/1/2017,73.5
11/1/2017,75.99
12/1/2017,77.47
1/1/2018,81.53
2/1/2018,84.51
3/1/2018,88.07
4/1/2018,86
5/1/2018,87.7
6/1/2018,87.7
6/12/2018,91.96
7/1/2018,99.5
7/8/2018,95.24
8/1/2018,95.24
9/1/2018,92.83
10/1/2018,92.83
11/1/2018,97.83
12/1/2018,95.83
