"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2004","57.250","57.370","57.550","57.100","","0.03%"
"01/05/2004","57.385","57.350","57.515","57.100","","0.24%"
"01/06/2004","57.300","57.100","57.600","57.100","","-0.15%"
"01/07/2004","57.310","57.150","57.515","57.100","","0.02%"
"01/08/2004","57.225","57.440","57.575","57.000","","-0.15%"
"01/09/2004","57.215","57.430","57.585","57.100","","-0.02%"
"01/12/2004","57.475","57.460","57.525","57.150","","0.45%"
"01/13/2004","57.485","57.470","57.515","57.100","","0.02%"
"01/14/2004","57.235","57.100","57.565","57.100","","-0.43%"
"01/15/2004","57.230","57.100","57.570","57.100","","-0.01%"
"01/16/2004","57.625","57.100","57.625","57.100","","0.69%"
"01/19/2004","57.330","57.270","57.360","57.220","","-0.51%"
"01/20/2004","57.625","57.320","57.625","57.100","","0.51%"
"01/21/2004","57.225","57.150","57.575","57.100","","-0.69%"
"01/22/2004","57.240","57.100","57.560","57.100","","0.03%"
"01/23/2004","57.365","57.340","57.390","57.330","","0.22%"
"01/26/2004","57.285","57.280","57.615","57.000","","-0.14%"
"01/27/2004","57.150","57.300","57.550","56.950","","-0.24%"
"01/28/2004","57.275","57.000","57.625","57.000","","0.22%"
"01/29/2004","57.300","57.100","57.600","57.100","","0.04%"
"01/30/2004","57.625","57.150","57.625","57.000","","0.57%"
"02/02/2004","57.290","57.200","57.410","57.050","","-0.58%"
"02/03/2004","57.360","57.100","57.540","56.980","","0.12%"
"02/04/2004","57.295","56.980","57.505","56.980","","-0.11%"
"02/05/2004","57.000","57.050","57.300","56.750","","-0.51%"
"02/06/2004","57.160","57.200","57.590","57.010","","0.28%"
"02/09/2004","57.225","57.430","57.545","56.950","","0.11%"
"02/10/2004","57.180","57.170","57.675","57.000","","-0.08%"
"02/11/2004","57.275","57.430","57.555","57.100","","0.17%"
"02/12/2004","57.200","57.000","57.450","57.000","","-0.13%"
"02/13/2004","57.375","57.280","57.455","57.050","","0.31%"
"02/16/2004","57.360","57.280","57.360","57.080","","-0.03%"
"02/17/2004","57.225","57.370","57.675","57.000","","-0.24%"
"02/18/2004","57.385","57.100","57.515","57.100","","0.28%"
"02/19/2004","57.540","57.360","57.560","57.100","","0.27%"
"02/20/2004","57.465","57.150","57.635","57.150","","-0.13%"
"02/23/2004","57.270","57.300","57.360","57.100","","-0.34%"
"02/24/2004","57.265","57.310","57.355","57.100","","-0.01%"
"02/25/2004","57.325","57.280","57.395","57.250","","0.10%"
"02/26/2004","57.215","57.320","57.405","57.130","","-0.19%"
"02/27/2004","57.400","57.140","57.450","57.140","","0.32%"
"03/01/2004","57.265","57.100","57.265","57.100","","-0.24%"
"03/02/2004","57.280","57.150","57.280","57.100","","0.03%"
"03/03/2004","57.330","57.330","57.410","57.000","","0.09%"
"03/04/2004","57.215","57.340","57.445","57.000","","-0.20%"
"03/05/2004","57.210","57.340","57.460","57.100","","-0.01%"
"03/08/2004","57.210","57.370","57.470","57.100","","0.00%"
"03/09/2004","57.200","57.350","57.500","57.050","","-0.02%"
"03/10/2004","57.285","57.400","57.445","57.100","","0.15%"
"03/11/2004","57.190","57.450","57.580","57.080","","-0.17%"
"03/12/2004","57.485","57.450","57.495","57.100","","0.52%"
"03/15/2004","57.360","57.465","57.555","56.700","","-0.22%"
"03/16/2004","57.375","57.500","57.630","56.700","","0.03%"
"03/17/2004","57.475","57.440","57.480","57.150","","0.17%"
"03/18/2004","57.360","57.440","57.505","57.100","","-0.20%"
"03/19/2004","57.285","57.480","57.620","57.100","","-0.13%"
"03/22/2004","57.375","57.480","57.635","57.100","","0.16%"
"03/23/2004","57.300","57.250","57.500","57.050","","-0.13%"
"03/24/2004","57.280","57.070","57.720","56.850","","-0.03%"
"03/25/2004","57.260","57.485","57.660","56.850","","-0.03%"
"03/26/2004","57.275","57.500","57.637","57.030","","0.03%"
"03/29/2004","57.540","57.500","57.590","57.100","","0.46%"
"03/30/2004","57.315","57.500","57.615","57.100","","-0.39%"
"03/31/2004","57.300","57.500","57.705","57.100","","-0.03%"
"04/01/2004","57.275","57.460","57.635","57.100","","-0.04%"
"04/02/2004","57.300","57.400","57.550","57.100","","0.04%"
"04/05/2004","57.300","57.390","57.545","57.100","","0.00%"
"04/06/2004","57.300","57.390","57.550","57.100","","0.00%"
"04/07/2004","57.365","57.370","57.380","57.100","","0.11%"
"04/08/2004","57.375","57.340","57.395","57.150","","0.02%"
"04/09/2004","57.395","57.370","57.415","57.370","","0.03%"
"04/12/2004","57.460","57.450","57.490","57.350","","0.11%"
"04/13/2004","57.295","57.470","57.585","57.150","","-0.29%"
"04/14/2004","57.480","57.470","57.500","57.100","","0.32%"
"04/15/2004","57.300","57.480","57.630","56.960","","-0.31%"
"04/16/2004","57.270","57.460","57.520","57.220","","-0.05%"
"04/19/2004","57.235","57.460","57.540","57.200","","-0.06%"
"04/20/2004","57.310","57.460","57.580","57.150","","0.13%"
"04/21/2004","57.390","57.480","57.590","57.200","","0.14%"
"04/22/2004","57.360","57.460","57.510","57.200","","-0.05%"
"04/23/2004","57.360","57.470","57.535","57.200","","0.00%"
"04/26/2004","57.480","57.450","57.480","57.200","","0.21%"
"04/27/2004","57.360","57.460","57.530","57.200","","-0.21%"
"04/28/2004","57.355","57.460","57.545","57.200","","-0.01%"
"04/29/2004","57.400","57.470","57.580","57.200","","0.08%"
"04/30/2004","57.295","57.440","57.470","57.200","","-0.18%"
"05/03/2004","57.285","57.280","57.305","57.270","","-0.02%"
"05/04/2004","57.320","57.450","57.550","57.200","","0.06%"
"05/05/2004","57.310","57.460","57.590","57.200","","-0.02%"
"05/06/2004","57.465","57.520","57.565","57.400","","0.27%"
"05/07/2004","57.575","57.530","57.585","57.260","","0.19%"
"05/10/2004","57.625","57.590","57.640","57.200","","0.09%"
"05/11/2004","57.510","57.645","57.790","57.300","","-0.20%"
"05/12/2004","57.450","57.670","57.750","57.400","","-0.10%"
"05/13/2004","57.675","57.705","57.740","57.400","","0.39%"
"05/14/2004","57.675","57.710","57.770","57.490","","0.00%"
"05/17/2004","57.825","57.680","57.885","57.600","","0.26%"
"05/18/2004","57.775","57.700","57.785","57.600","","-0.09%"
"05/19/2004","57.665","57.730","57.785","57.500","","-0.19%"
"05/20/2004","57.690","57.600","57.780","57.550","","0.04%"
"05/21/2004","57.725","57.750","57.835","57.550","","0.06%"
"05/24/2004","57.750","57.740","57.820","57.550","","0.04%"
"05/25/2004","57.585","57.730","57.745","57.570","","-0.29%"
"05/26/2004","57.550","57.500","57.550","57.500","","-0.06%"
"05/27/2004","57.645","57.680","57.820","57.520","","0.17%"
"05/28/2004","57.720","57.670","57.750","57.490","","0.13%"
"05/31/2004","57.675","57.680","57.735","57.600","","-0.08%"
"06/01/2004","57.715","57.680","57.755","57.520","","0.07%"
"06/02/2004","57.745","57.715","57.845","57.520","","0.05%"
"06/03/2004","57.735","57.750","57.875","57.600","","-0.02%"
"06/04/2004","57.675","57.780","57.835","57.600","","-0.10%"
"06/07/2004","57.800","57.770","57.825","57.550","","0.22%"
"06/08/2004","57.845","57.690","57.845","57.590","","0.08%"
"06/09/2004","57.915","57.810","57.925","57.590","","0.12%"
"06/10/2004","57.670","57.790","57.860","57.550","","-0.42%"
"06/11/2004","57.832","57.820","57.853","57.600","","0.28%"
"06/14/2004","57.815","57.640","58.035","57.640","","-0.03%"
"06/15/2004","57.745","57.880","58.030","57.500","","-0.12%"
"06/16/2004","58.025","57.915","58.025","57.800","","0.48%"
"06/17/2004","57.975","57.890","58.025","57.700","","-0.09%"
"06/18/2004","57.940","57.935","58.010","57.700","","-0.06%"
"06/21/2004","57.865","57.930","58.035","57.530","","-0.13%"
"06/22/2004","57.900","57.990","58.070","57.700","","0.06%"
"06/23/2004","58.075","58.030","58.215","57.990","","0.30%"
"06/24/2004","57.880","58.100","58.190","57.800","","-0.34%"
"06/25/2004","57.950","58.085","58.170","57.800","","0.12%"
"06/28/2004","57.400","58.145","58.260","57.950","","-0.95%"
"06/29/2004","58.300","58.130","58.300","58.040","","1.57%"
"06/30/2004","57.990","58.160","58.210","57.850","","-0.53%"
"07/01/2004","57.885","57.840","57.965","57.750","","-0.18%"
"07/02/2004","58.350","58.130","58.730","57.750","","0.80%"
"07/05/2004","58.180","57.650","58.180","57.550","","-0.29%"
"07/06/2004","58.255","58.220","58.265","57.850","","0.13%"
"07/07/2004","58.225","58.210","58.245","57.750","","-0.05%"
"07/08/2004","58.150","58.190","58.280","57.950","","-0.13%"
"07/09/2004","58.220","58.250","58.320","57.950","","0.12%"
"07/12/2004","58.275","58.270","58.355","58.220","","0.09%"
"07/13/2004","58.215","58.230","58.265","58.160","","-0.10%"
"07/14/2004","58.280","58.180","58.280","58.180","","0.11%"
