Year,Month,Export_Index,Price
2020,1,111,98
2020,2,74,112
2020,3,120,90
2020,4,83,72
2020,5,81,71
2020,6,89,107
2020,7,61,90
2020,8,92,81
2020,9,117,91
2020,10,108,96
2020,11,118,111
2020,12,119,85
2021,1,74,116
2021,2,121,113
2021,3,114,72
2021,4,110,76
2021,5,80,78
2021,6,98,87
2021,7,63,94
2021,8,119,83
2021,9,68,95
2021,10,112,71
2021,11,119,76
2021,12,103,77
2022,1,106,104
2022,2,95,119
2022,3,63,71
2022,4,65,111
2022,5,63,98
2022,6,122,87
2022,7,103,103
2022,8,121,105
2022,9,73,100
2022,10,107,84
2022,11,121,109
2022,12,112,93
2023,1,85,94
2023,2,119,114
2023,3,100,98
2023,4,74,114
2023,5,124,94
2023,6,68,93
2023,7,60,113
2023,8,67,93
2023,9,122,80
2023,10,67,104
2023,11,94,102
2023,12,64,111
2024,1,100,97
2024,2,66,78
2024,3,71,103
2024,4,92,117
2024,5,82,93
2024,6,96,104
2024,7,103,109
2024,8,94,70
2024,9,106,83
2024,10,62,70
2024,11,64,95
2024,12,73,108
