YEAR,Punjab,Sindh,KPK,Balochistan,Pakistan
1947-48,165,1,186,1,353
1948-49,171,1,199,2,373
1949-50,187,1,210,3,401
1950-51,159,1,218,3,381
1951-52,157,1,217,2,377
1952-53,153,2,189,2,346
1953-54,221,1,178,2,402
1954-55,204,3,217,2,426
1955-56,208,3,237,2,450
1956-57,218,3,239,2,462
1957-58,207,3,228,2,440
1958-59,240,3,236,2,481
1959-60,233,3,240,2,478
1960-61,202,4,224,2,432
1961-62,231,4,243,2,480
1962-63,239,3,237,2,481
1963-64,240,5,271,2,518
1964-65,243,5,270,2,520
1965-66,213,6,310,2,531
1966-67,255,6,315,2,578
1967-68,388,10,377,4,779
1968-69,305,10,298,3,616
1969-70,318,12,322,5,657
1970-71,343.4,12,357.8,4.5,717.7
1971-72,340.7,13.1,348.5,2.8,705.1
1972-73,329.3,11.6,363.2,1.8,705.9
1973-74,344.6,12.8,407,2.7,767.1
1974-75,326.1,11.1,407.7,2,746.9
1975-76,386.3,12.8,401.5,1.9,802.5
1976-77,361.7,13.2,386.1,2.8,763.8
1977-78,391.7,12.2,414.5,2.5,820.9
1978-79,384.5,12.5,398.9,2.7,798.6
1979-80,420.6,13.6,438.4,2.6,875.2
1980-81,444.7,12.3,510.9,2.5,970.4
1981-82,405.3,10.9,512.2,2,930.4
1982-83,450.1,9.8,542.9,2.6,1005.4
1983-84,450,9.8,550.9,2.8,1013.5
1984-85,460,10.4,554,3.2,1027.6
1985-86,415,10.1,580.6,3.7,1009.4
1986-87,453.3,10.4,643.5,4,1111.2
1987-88,404.8,8.7,709.3,4.1,1126.9
1988-89,455.3,9.7,735.1,4,1204.1
1989-90,455,9.6,710.5,4.2,1179.3
1990-91,425,9.6,745.7,4.2,1184.5
1991-92,415.3,8.7,774.9,4.2,1203.1
1992-93,401.9,6,771.4,4.3,1183.6
1993-94,437.4,5.6,767.1,2.9,1213
1994-95,460.5,6.4,846.7,4.5,1318.1
1995-96,671.3,5.9,822.2,4.5,1503.9
1996-97,681.6,5.6,799.7,3.9,1490.8
1997-98,694,5,814,4.3,1517.3
1998-99,828.2,5.5,827.6,3.7,1665
1999-2000,817.2,4.6,827.4,2.8,1652
2000-01,748.5,4.4,887.9,2.5,1643.3
2001-02,741.9,3.2,916.4,2.9,1664.4
2002-03,882.9,3.6,847.5,3.1,1737.1
2003-04,1019.8,4.8,867.6,5.2,1897.4
2004-05,1934.6,1.6,855.5,5.3,2797
2005-06,2319.4,1.6,782.4,6.2,3109.6
2006-07,2161.9,1.4,918.6,6.5,3088.4
2007-08,2694,1.8,903.9,5,3604.7
2008-09,2627.2,1.7,957.9,6.2,3593
2009-10,2501.5,1.9,752.2,5.9,3261.5
2010-11,2959.2,1.6,740.5,5.7,3707
2011-12,3441.7,2.9,887.8,5.9,4338.3
2012-13,3353.1,3.6,858.3,5.1,4220.1
2013-14,4020.8,3.5,914.8,5.1,4944.2
2014-15,4019.9,3.4,909.7,3.8,4936.8
2015-16,4391.2,3.6,873,3.1,5270.9
2016-17,5237.2,3.6,890.1,3.4,6134.3
2017-18,5028,3.6,867,3,5901.6
2018-19,5915.5,3.5,904.5,2.8,6826.3
2019-20,6994.7,4,881.6,2.8,7883.1
2020-21,8039.9,4.22,891.02,4.65,8939.79
2021-22,9739.1,4.37,886.52,4.84,10634.83
2022-23,10054.7,3.15,923.78,3.18,10984.81
