YEAR,Punjab,Sindh,KPK,Balochistan,Pakistan
1947-48,3909,192,1341,0,5442
1948-49,5360,252,1225,0,6837
1949-50,6308,269,1148,0,7725
1950-51,4270,227,922,0,5419
1951-52,4000,237,1077,0,5314
1952-53,5467,276,1408,0,7151
1953-54,6923,524,1368,0,8815
1954-55,6849,412,1435,0,8696
1955-56,6223,500,1347,0,8070
1956-57,6662,607,1537,0,8806
1957-58,8243,985,1888,0,11116
1958-59,9049,872,2371,0,12292
1959-60,7731,820,1943,0,10494
1960-61,8687,892,1878,0,11457
1961-62,10960,1182,1988,0,14130
1962-63,13266,2383,2499,0,18148
1963-64,11572,1859,2453,1,15885
1964-65,12539,2674,3159,1,18373
1965-66,15707,2832,3417,1,21957
1966-67,15443,2949,3242,1,21635
1967-68,13040,2362,2963,0,18365
1968-69,15900,2734,2990,0,21624
1969-70,19402,3341.8,3207.6,1.9,25953.3
1970-71,16834,3239.2,3092.8,1,23167
1971-72,13774.6,2784.8,3401.8,1.9,19963.1
1972-73,13726.9,2915.1,3304,1.5,19947.5
1973-74,16617.5,3795,3497.2,0.8,23910.5
1974-75,14810,2767.2,3663.1,1.6,21241.9
1975-76,18267.6,3586.4,3690.6,2.1,25546.7
1976-77,21788.3,4037,3695.4,2.3,29523
1977-78,22095.7,4260.4,3718.8,1.7,30076.6
1978-79,19343.9,4373.8,3606.1,1.7,27325.5
1979-80,19413.5,4664.4,3417,2.8,27497.7
1980-81,23733,5007.3,3598,21.1,32359.4
1981-82,25021,7462.7,4057.2,38.8,36579.7
1982-83,20882.4,7545.7,4017.6,87.8,32533.5
1983-84,22835.9,7357.1,4065.3,29,34287.3
1984-85,20959,7427.9,3722.4,30.3,32139.6
1985-86,16755.1,7533.2,3553.1,14.9,27856.3
1986-87,18477.7,7906.1,3518.5,23.5,29925.8
1987-88,19406.2,9574.8,4020.5,27.3,33028.8
1988-89,19493.7,13110.5,4349,22.5,36975.7
1989-90,18682.9,12360,4427.3,23.4,35493.6
1990-91,19633.4,11815.6,4516.1,23.6,35988.7
1991-92,20026.8,14240.5,4568.9,28.7,38864.9
1992-93,20044.8,13556.8,4428.4,28.9,38058.9
1993-94,24510.8,15421,4470.1,25.1,44427
1994-95,28268,14310.3,4562.2,27.9,47168.4
1995-96,26880,13737.2,4583,29.5,45229.7
1996-97,24010.2,13110.6,4841.6,36,41998.4
1997-98,32110.6,15999.6,4956.5,37.5,53104.2
1998-99,33382.8,17050.7,4719.5,38.1,55191.1
1999-2000,27081.3,14290.8,4917.1,43.4,46332.6
2000-01,26740,12049.7,4784.4,32.2,43606.3
2001-02,31803.1,11416.3,4787.2,35,48041.6
2002-03,33168.6,13797.6,5049,40.6,52055.8
2003-04,34023,14611.8,4745.6,38.8,53419.2
2004-05,33048,9357.4,4816.2,22.5,47244.1
2005-06,28968.6,11243.4,4439,14.5,44665.5
2006-07,37542,12529.21,4645.1,25.3,54741.61
2007-08,40306,18793.9,4792,28.1,63920
2008-09,32294.7,13304.3,4408.5,37.9,50045.4
2009-10,31324,13505.4,4507.9,35.6,49372.9
2010-11,37481,13766.4,4030.3,30.8,55308.5
2011-12,42893,10788.3,4684.3,30.8,58396.4
2012-13,42982,15966.2,4770.2,31.5,63749.9
2013-14,43704,18362.5,5361.4,32.2,67460.1
2014-15,41074.3,16613.8,5107,31.6,62826.7
2015-16,41968.2,17984.3,5498.3,31.7,65482.5
2016-17,49613,20208.9,5628.7,31.6,75482.2
2017-18,55067.5,20611.9,6405,43.4,82127.8
2018-19,44906.31,16691.3,5532,44.3,67173.91
2019-20,43346.6,17233.83,5754,45.2,66379.63
2020-21,57000,18335.53,5627.54,46.18,81009.25
2021-22,64245,19460.72,4909.95,34.92,88650.59
2022-23,66932,16171.72,4844.24,33.17,87981.13
