YEAR,Punjab,Sindh,KPK,Balochistan,Pakistan
1947-48, 2595, 371, 280, 55, 3301
1948-49, 3232, 401, 268, 73, 3974
1949-50, 3131, 347, 295, 89, 3862
1950-51, 3299, 296, 261, 74, 3930
1951-52, 2436, 273, 189, 64, 2962
1952-53, 1777, 376, 160, 54, 2367
1953-54, 2910, 387, 213, 77, 3587
1954-55, 2492, 368, 204, 72, 3136
1955-56, 2612, 372, 255, 78, 3317
1956-57, 2846, 395, 270, 70, 3581
1957-58, 2750, 398, 279, 81, 3508
1958-59, 3042, 432, 301, 70, 3845
1959-60, 2977, 441, 353, 76, 3847
1960-61, 2899, 477, 301, 77, 3754
1961-62, 3109, 495, 304, 55, 3963
1962-63, 3309, 425, 301, 69, 4104
1963-64, 3209, 464, 343, 80, 4096
1964-65, 3514, 544, 361, 99, 4518
1965-66, 2931, 533, 304, 86, 3854
1966-67, 3346, 551, 283, 86, 4266
1967-68, 4966, 832, 389, 130, 6317
1968-69, 5185, 845, 381, 102, 6513
1969-70, 5552, 1090, 375, 162, 7179
1970-71, 4948.2, 1120.7, 331.2, 76.2, 6476.3
1971-72, 5291.1, 1081.1, 439.6, 78.6, 6890.4
1972-73, 5693.5, 1095.8, 584.4, 68.6, 7442.3
1973-74, 5664.8, 1246, 606.9, 111.2, 7628.9
1974-75, 5785.6, 1143.6, 613.2, 131.1, 7673.5
1975-76, 6571.6, 1320.9, 660.4, 137.8, 8690.7
1976-77, 6807.7, 1478.6, 711.4, 146, 9143.7
1977-78, 6090.2, 1427, 688.6, 161.4, 8367.2
1978-79, 7323.6, 1680.1, 737.5, 208.8, 9950
1979-80, 7913.5, 1849.4, 862.5, 231.1, 10856.5
1980-81, 8350, 1945.8, 940.8, 238, 11474.6
1981-82, 7962.1, 2061.7, 962.2, 318.2, 11304.2
1982-83, 8935.1, 2066.7, 998.4, 414.2, 12414.4
1983-84, 7622.8, 1945.8, 859.8, 453.5, 10881.9
1984-85, 8315.1, 2078.7, 872.1, 437.1, 11703
1985-86, 10431.6, 2172.2, 906.5, 412.7, 13923
1986-87, 8334.3, 2211.5, 959.4, 510.7, 12015.9
1987-88, 9203.8, 2180.4, 899.2, 391.7, 12675.1
1988-89, 10517, 2360.6, 1003.7, 537.9, 14419.2
1989-90, 10518.2, 2130.9, 1102.1, 564.3, 14315.5
1990-91, 10513.8, 2274.5, 1148.4, 628.3, 14565
1991-92, 11492.3, 2365.4, 1163.4, 663.1, 15684.2
1992-93, 11742, 2418, 1183, 813.5, 16156.5
1993-94, 11218, 2116.6, 1134.3, 744.1, 15213
1994-95, 12713, 2319.1, 1180.2, 790.1, 17002.4
1995-96, 12430, 2344.8, 1202.5, 930.1, 16907.4
1996-97, 12371, 2443.9, 1064.4, 771.2, 16650.5
1997-98, 13807, 2659.4, 1356, 871.6, 18694
1998-99, 13212, 2675.1, 1221.8, 748.7, 17857.6
1999-2000, 16480, 3001.3, 1067.8, 529.5, 21078.6
2000-01, 15419, 2226.5, 764, 614.2, 19023.7
2001-02, 14594.4, 2101, 890.5, 640.6, 18226.5
2002-03, 15355, 2109.2, 1064.4, 654.7, 19183.3
2003-04, 15639, 2172.2, 1025.2, 663.4, 19499.8
2004-05, 17375, 2508.6, 1091.1, 637.6, 21612.3
2005-06, 16776, 2750.3, 1100.6, 649.9, 21276.8
2006-07, 17853, 3409.2, 1160.4, 872.1, 23294.7
2007-08, 15607, 3411.4, 1071.8, 868.6, 20958.8
2008-09, 18420, 3540.2, 1204.5, 868.2, 24032.9
2009-10, 17919, 3703.1, 1152.5, 536.2, 23310.8
2010-11, 19041, 4287.9, 1155.8, 729.1, 25213.8
2011-12, 17738.9, 3761.5, 1130.3, 842.7, 23473.4
2012-13, 18587, 3598.7, 1257.6, 768.1, 24211.4
2013-14, 19738.9, 4002.1, 1363.1, 875.3, 25979.4
2014-15, 19281.9, 3672.2, 1259.9, 872.1, 25086.1
2015-16, 19526.7, 3834.6, 1400.5, 871.3, 25633.1
2016-17, 20466.3, 3910.4, 1365.1, 931.8, 26673.6
2017-18, 19178.5, 3639.5, 1322.7, 935.4, 25076.1
2018-19, 18377.2, 3778.9, 1336.7, 865.3, 24358.1
2019-20, 19401.9, 3850, 1130.4, 867.2, 25249.5
2020-21, 20900, 4043.17, 1361.58, 1159.33, 27464.08
2021-22, 20032, 3759.75, 1380.92, 1220.98, 26393.65
2022-23, 21225, 3940.17, 1494.14, 1516.23, 28175.54
